timestamp,EAR,blink_detected,eye_state
2025-01-01 10:00:00,0.194,0,open
2025-01-01 10:00:01,0.329,0,squint
2025-01-01 10:00:02,0.153,0,open
2025-01-01 10:00:03,0.279,0,open
2025-01-01 10:00:04,0.21,0,squint
2025-01-01 10:00:05,0.192,0,open
2025-01-01 10:00:06,0.292,0,open
2025-01-01 10:00:07,0.339,0,closed
2025-01-01 10:00:08,0.273,0,closed
2025-01-01 10:00:09,0.269,0,squint
2025-01-01 10:00:10,0.304,0,open
2025-01-01 10:00:11,0.17,0,open
2025-01-01 10:00:12,0.185,0,open
2025-01-01 10:00:13,0.324,0,open
2025-01-01 10:00:14,0.171,1,closed
2025-01-01 10:00:15,0.288,0,open
2025-01-01 10:00:16,0.203,0,closed
2025-01-01 10:00:17,0.313,1,closed
2025-01-01 10:00:18,0.18,0,open
2025-01-01 10:00:19,0.343,1,open
2025-01-01 10:00:20,0.276,0,open
2025-01-01 10:00:21,0.167,0,open
2025-01-01 10:00:22,0.251,0,closed
2025-01-01 10:00:23,0.325,0,open
2025-01-01 10:00:24,0.343,0,open
2025-01-01 10:00:25,0.25,0,open
2025-01-01 10:00:26,0.165,0,open
2025-01-01 10:00:27,0.16,1,closed
2025-01-01 10:00:28,0.201,0,open
2025-01-01 10:00:29,0.166,0,open
2025-01-01 10:00:30,0.222,0,open
2025-01-01 10:00:31,0.302,0,open
2025-01-01 10:00:32,0.248,0,closed
2025-01-01 10:00:33,0.25,0,open
2025-01-01 10:00:34,0.328,0,open
2025-01-01 10:00:35,0.277,0,open
2025-01-01 10:00:36,0.305,0,open
2025-01-01 10:00:37,0.258,0,closed
2025-01-01 10:00:38,0.177,0,open
2025-01-01 10:00:39,0.324,0,closed
2025-01-01 10:00:40,0.311,0,open
2025-01-01 10:00:41,0.241,0,open
2025-01-01 10:00:42,0.18,0,open
2025-01-01 10:00:43,0.198,0,open
2025-01-01 10:00:44,0.276,0,closed
2025-01-01 10:00:45,0.332,0,closed
2025-01-01 10:00:46,0.281,0,closed
2025-01-01 10:00:47,0.307,0,open
2025-01-01 10:00:48,0.269,0,open
2025-01-01 10:00:49,0.243,1,closed
2025-01-01 10:00:50,0.3,0,open
2025-01-01 10:00:51,0.153,0,closed
2025-01-01 10:00:52,0.214,0,open
2025-01-01 10:00:53,0.312,0,open
2025-01-01 10:00:54,0.255,0,open
2025-01-01 10:00:55,0.184,0,open
2025-01-01 10:00:56,0.221,0,open
2025-01-01 10:00:57,0.227,0,open
2025-01-01 10:00:58,0.318,0,open
2025-01-01 10:00:59,0.162,0,open
2025-01-01 10:01:00,0.34,0,open
2025-01-01 10:01:01,0.294,0,open
2025-01-01 10:01:02,0.173,0,open
2025-01-01 10:01:03,0.191,0,open
2025-01-01 10:01:04,0.176,0,open
2025-01-01 10:01:05,0.235,0,closed
2025-01-01 10:01:06,0.218,0,open
2025-01-01 10:01:07,0.28,0,open
2025-01-01 10:01:08,0.237,0,open
2025-01-01 10:01:09,0.314,0,open
2025-01-01 10:01:10,0.273,0,squint
2025-01-01 10:01:11,0.173,1,open
2025-01-01 10:01:12,0.211,1,open
2025-01-01 10:01:13,0.249,1,squint
2025-01-01 10:01:14,0.169,0,open
2025-01-01 10:01:15,0.338,0,closed
2025-01-01 10:01:16,0.166,0,open
2025-01-01 10:01:17,0.23,0,open
2025-01-01 10:01:18,0.318,0,open
2025-01-01 10:01:19,0.207,0,open
2025-01-01 10:01:20,0.348,0,closed
2025-01-01 10:01:21,0.279,0,open
2025-01-01 10:01:22,0.287,0,open
2025-01-01 10:01:23,0.295,0,open
2025-01-01 10:01:24,0.278,0,open
2025-01-01 10:01:25,0.333,0,open
2025-01-01 10:01:26,0.224,0,open
2025-01-01 10:01:27,0.272,0,open
2025-01-01 10:01:28,0.179,0,open
2025-01-01 10:01:29,0.308,0,open
2025-01-01 10:01:30,0.274,0,open
2025-01-01 10:01:31,0.276,0,open
2025-01-01 10:01:32,0.215,0,open
2025-01-01 10:01:33,0.25,0,closed
2025-01-01 10:01:34,0.191,0,open
2025-01-01 10:01:35,0.207,0,open
2025-01-01 10:01:36,0.208,1,open
2025-01-01 10:01:37,0.211,0,open
2025-01-01 10:01:38,0.23,0,open
2025-01-01 10:01:39,0.207,0,open
2025-01-01 10:01:40,0.19,0,open
2025-01-01 10:01:41,0.275,0,closed
2025-01-01 10:01:42,0.255,0,closed
2025-01-01 10:01:43,0.311,0,open
2025-01-01 10:01:44,0.181,0,open
2025-01-01 10:01:45,0.225,0,open
2025-01-01 10:01:46,0.268,1,closed
2025-01-01 10:01:47,0.16,0,squint
2025-01-01 10:01:48,0.325,0,open
2025-01-01 10:01:49,0.248,0,open
2025-01-01 10:01:50,0.309,0,open
2025-01-01 10:01:51,0.239,0,open
2025-01-01 10:01:52,0.306,0,open
2025-01-01 10:01:53,0.321,0,open
2025-01-01 10:01:54,0.332,0,open
2025-01-01 10:01:55,0.281,0,open
2025-01-01 10:01:56,0.233,1,closed
2025-01-01 10:01:57,0.203,0,closed
2025-01-01 10:01:58,0.266,0,open
2025-01-01 10:01:59,0.153,0,open
2025-01-01 10:02:00,0.345,0,open
2025-01-01 10:02:01,0.286,0,open
2025-01-01 10:02:02,0.161,0,open
2025-01-01 10:02:03,0.17,0,squint
2025-01-01 10:02:04,0.253,0,closed
2025-01-01 10:02:05,0.313,0,open
2025-01-01 10:02:06,0.289,0,open
2025-01-01 10:02:07,0.202,0,open
2025-01-01 10:02:08,0.21,0,open
2025-01-01 10:02:09,0.304,0,open
2025-01-01 10:02:10,0.277,0,open
2025-01-01 10:02:11,0.162,0,closed
2025-01-01 10:02:12,0.335,0,open
2025-01-01 10:02:13,0.252,0,closed
2025-01-01 10:02:14,0.286,0,open
2025-01-01 10:02:15,0.34,0,open
2025-01-01 10:02:16,0.159,0,open
2025-01-01 10:02:17,0.172,0,open
2025-01-01 10:02:18,0.23,0,open
2025-01-01 10:02:19,0.296,0,open
2025-01-01 10:02:20,0.278,0,closed
2025-01-01 10:02:21,0.21,1,open
2025-01-01 10:02:22,0.198,0,closed
2025-01-01 10:02:23,0.299,1,squint
2025-01-01 10:02:24,0.211,0,squint
2025-01-01 10:02:25,0.159,0,open
2025-01-01 10:02:26,0.348,0,open
2025-01-01 10:02:27,0.162,0,open
2025-01-01 10:02:28,0.253,0,closed
2025-01-01 10:02:29,0.238,0,closed
2025-01-01 10:02:30,0.166,0,squint
2025-01-01 10:02:31,0.268,0,closed
2025-01-01 10:02:32,0.229,0,open
2025-01-01 10:02:33,0.157,0,open
2025-01-01 10:02:34,0.257,0,open
2025-01-01 10:02:35,0.176,0,open
2025-01-01 10:02:36,0.286,1,closed
2025-01-01 10:02:37,0.319,0,closed
2025-01-01 10:02:38,0.204,0,squint
2025-01-01 10:02:39,0.286,0,open
2025-01-01 10:02:40,0.268,0,open
2025-01-01 10:02:41,0.15,0,open
2025-01-01 10:02:42,0.248,0,open
2025-01-01 10:02:43,0.337,0,open
2025-01-01 10:02:44,0.262,0,closed
2025-01-01 10:02:45,0.187,0,closed
2025-01-01 10:02:46,0.158,0,open
2025-01-01 10:02:47,0.274,0,open
2025-01-01 10:02:48,0.168,0,closed
2025-01-01 10:02:49,0.349,0,open
2025-01-01 10:02:50,0.301,0,open
2025-01-01 10:02:51,0.237,1,open
2025-01-01 10:02:52,0.33,0,open
2025-01-01 10:02:53,0.225,0,open
2025-01-01 10:02:54,0.289,0,open
2025-01-01 10:02:55,0.269,1,open
2025-01-01 10:02:56,0.334,0,closed
2025-01-01 10:02:57,0.202,0,closed
2025-01-01 10:02:58,0.162,0,squint
2025-01-01 10:02:59,0.29,1,open
2025-01-01 10:03:00,0.204,0,open
2025-01-01 10:03:01,0.173,0,open
2025-01-01 10:03:02,0.167,0,open
2025-01-01 10:03:03,0.341,0,open
2025-01-01 10:03:04,0.191,0,open
2025-01-01 10:03:05,0.308,0,open
2025-01-01 10:03:06,0.201,0,open
2025-01-01 10:03:07,0.296,0,open
2025-01-01 10:03:08,0.326,0,open
2025-01-01 10:03:09,0.173,0,open
2025-01-01 10:03:10,0.276,0,open
2025-01-01 10:03:11,0.179,0,open
2025-01-01 10:03:12,0.23,0,open
2025-01-01 10:03:13,0.295,0,closed
2025-01-01 10:03:14,0.192,0,open
2025-01-01 10:03:15,0.298,0,closed
2025-01-01 10:03:16,0.262,0,open
