timestamp,blink_rate_per_min,fatigue_score,session_minutes
2025-01-01 10:00:00,28,0.19,0
2025-01-01 10:00:10,18,0.24,1
2025-01-01 10:00:20,29,0.55,2
2025-01-01 10:00:30,20,0.73,3
2025-01-01 10:00:40,18,0.88,4
2025-01-01 10:00:50,15,0.6,5
2025-01-01 10:01:00,16,0.75,6
2025-01-01 10:01:10,11,0.48,7
2025-01-01 10:01:20,22,0.39,8
2025-01-01 10:01:30,32,0.33,9
2025-01-01 10:01:40,14,0.62,10
2025-01-01 10:01:50,33,0.47,11
2025-01-01 10:02:00,22,0.7,12
2025-01-01 10:02:10,27,0.85,13
2025-01-01 10:02:20,31,0.7,14
2025-01-01 10:02:30,16,0.72,15
2025-01-01 10:02:40,18,0.15,16
2025-01-01 10:02:50,20,0.45,17
2025-01-01 10:03:00,24,0.13,18
2025-01-01 10:03:10,31,0.82,19
2025-01-01 10:03:20,34,0.27,20
2025-01-01 10:03:30,23,0.89,21
2025-01-01 10:03:40,14,0.82,22
2025-01-01 10:03:50,13,0.74,23
2025-01-01 10:04:00,30,0.77,24
2025-01-01 10:04:10,22,0.87,25
2025-01-01 10:04:20,19,0.63,26
2025-01-01 10:04:30,25,0.15,27
2025-01-01 10:04:40,33,0.87,28
2025-01-01 10:04:50,33,0.48,29
2025-01-01 10:05:00,30,0.56,30
2025-01-01 10:05:10,20,0.24,31
2025-01-01 10:05:20,20,0.41,32
2025-01-01 10:05:30,13,0.41,33
2025-01-01 10:05:40,22,0.72,34
2025-01-01 10:05:50,13,0.78,35
2025-01-01 10:06:00,18,0.83,36
2025-01-01 10:06:10,30,0.88,37
2025-01-01 10:06:20,29,0.31,38
2025-01-01 10:06:30,20,0.47,39
2025-01-01 10:06:40,24,0.82,40
2025-01-01 10:06:50,32,0.59,41
2025-01-01 10:07:00,25,0.84,42
2025-01-01 10:07:10,27,0.35,43
2025-01-01 10:07:20,30,0.12,44
2025-01-01 10:07:30,19,0.54,45
2025-01-01 10:07:40,29,0.63,46
2025-01-01 10:07:50,23,0.49,47
2025-01-01 10:08:00,24,0.26,48
2025-01-01 10:08:10,29,0.53,49
2025-01-01 10:08:20,15,0.19,50
2025-01-01 10:08:30,19,0.23,51
2025-01-01 10:08:40,12,0.81,52
2025-01-01 10:08:50,34,0.84,53
2025-01-01 10:09:00,28,0.75,54
2025-01-01 10:09:10,23,0.52,55
2025-01-01 10:09:20,16,0.52,56
2025-01-01 10:09:30,23,0.56,57
2025-01-01 10:09:40,13,0.89,58
2025-01-01 10:09:50,20,0.38,59
2025-01-01 10:10:00,20,0.79,60
2025-01-01 10:10:10,31,0.49,61
2025-01-01 10:10:20,13,0.73,62
2025-01-01 10:10:30,34,0.56,63
2025-01-01 10:10:40,29,0.5,64
2025-01-01 10:10:50,33,0.26,65
2025-01-01 10:11:00,32,0.58,66
2025-01-01 10:11:10,28,0.73,67
2025-01-01 10:11:20,26,0.4,68
2025-01-01 10:11:30,33,0.67,69
2025-01-01 10:11:40,27,0.85,70
2025-01-01 10:11:50,21,0.19,71
2025-01-01 10:12:00,26,0.23,72
2025-01-01 10:12:10,26,0.33,73
2025-01-01 10:12:20,29,0.53,74
2025-01-01 10:12:30,11,0.73,75
2025-01-01 10:12:40,23,0.64,76
2025-01-01 10:12:50,21,0.66,77
2025-01-01 10:13:00,10,0.86,78
2025-01-01 10:13:10,15,0.88,79
2025-01-01 10:13:20,20,0.51,80
2025-01-01 10:13:30,25,0.64,81
2025-01-01 10:13:40,30,0.5,82
2025-01-01 10:13:50,33,0.67,83
2025-01-01 10:14:00,10,0.49,84
2025-01-01 10:14:10,27,0.31,85
2025-01-01 10:14:20,17,0.7,86
2025-01-01 10:14:30,22,0.73,87
2025-01-01 10:14:40,34,0.83,88
2025-01-01 10:14:50,15,0.18,89
2025-01-01 10:15:00,24,0.9,90
2025-01-01 10:15:10,20,0.72,91
2025-01-01 10:15:20,15,0.89,92
2025-01-01 10:15:30,25,0.83,93
2025-01-01 10:15:40,23,0.69,94
2025-01-01 10:15:50,26,0.41,95
2025-01-01 10:16:00,33,0.13,96
2025-01-01 10:16:10,22,0.6,97
2025-01-01 10:16:20,30,0.6,98
2025-01-01 10:16:30,19,0.66,99
2025-01-01 10:16:40,12,0.28,100
2025-01-01 10:16:50,27,0.34,101
2025-01-01 10:17:00,33,0.78,102
2025-01-01 10:17:10,14,0.31,103
2025-01-01 10:17:20,14,0.5,104
2025-01-01 10:17:30,25,0.7,105
2025-01-01 10:17:40,26,0.78,106
2025-01-01 10:17:50,11,0.78,107
2025-01-01 10:18:00,26,0.19,108
2025-01-01 10:18:10,27,0.35,109
2025-01-01 10:18:20,22,0.4,110
2025-01-01 10:18:30,32,0.48,111
2025-01-01 10:18:40,25,0.2,112
2025-01-01 10:18:50,31,0.55,113
2025-01-01 10:19:00,15,0.18,114
2025-01-01 10:19:10,33,0.63,115
2025-01-01 10:19:20,31,0.33,116
2025-01-01 10:19:30,21,0.68,117
2025-01-01 10:19:40,22,0.48,118
2025-01-01 10:19:50,14,0.2,119
